0	0	6441
0	1	2219
0	2	56
0	3	47
0	4	35
0	5	28
0	6	24
0	7	17
0	8	34
0	9	27
0	10	15
0	11	16
0	12	8
0	13	8
0	14	2
0	15	7
0	16	4
0	17	4
0	18	3
0	19	2
1	0	1990
1	1	158568
1	2	29367
1	3	1287
1	4	482
1	5	323
1	6	242
1	7	204
1	8	176
1	9	143
1	10	104
1	11	90
1	12	51
1	13	52
1	14	26
1	15	27
1	16	28
1	17	23
1	18	10
1	19	7

2	0	103
2	1	30866
2	2	576679
2	3	172958
2	4	28867
2	5	4692
2	6	2370
2	7	1561
2	8	1083
2	9	992
2	10	699
2	11	552
2	12	414
2	13	338
2	14	240
2	15	210
2	16	158
2	17	139
2	18	97
2	19	98

3	0	19
3	1	1282
3	2	192270
3	3	1416893
3	4	643206
3	5	80718
3	6	18204
3	7	9740
3	8	6190
3	9	4449
3	10	3314
3	11	2526
3	12	1779
3	13	1494
3	14	1081
3	15	893
3	16	700
3	17	557
3	18	479
3	19	427

4	0	20
4	1	549
4	2	32140
4	3	705102
4	4	6105881
4	5	1726988
4	6	281831
4	7	59721
4	8	28685
4	9	18997
4	10	13214
4	11	9630
4	12	7293
4	13	5869
4	14	4296
4	15	3365
4	16	2587
4	17	2082
4	18	1659
4	19	1373

5	0	17
5	1	403
5	2	5065
5	3	94871
5	4	1821524
5	5	6544620
5	6	2171401
5	7	401362
5	8	92577
5	9	45739
5	10	30670
5	11	22746
5	12	17348
5	13	13157
5	14	10660
5	15	8368
5	16	6550
5	17	5176
5	18	4086
5	19	3373

6	0	18
6	1	414
6	2	2785
6	3	20030
6	4	295903
6	5	2239177
6	6	6340417
6	7	2292051
6	8	433578
6	9	113700
6	10	58173
6	11	39967
6	12	30992
6	13	23293
6	14	18599
6	15	14615
6	16	12008
6	17	9294
6	18	7830
6	19	6581

7	0	24
7	1	440
7	2	2093
7	3	10315
7	4	60370
7	5	420843
7	6	2280937
7	7	4791213
7	8	1829097
7	9	389922
7	10	118865
7	11	62275
7	12	43288
7	13	32592
7	14	25580
7	15	20050
7	16	15811
7	17	12751
7	18	10590
7	19	8952

8	0	14
8	1	366
8	2	1555
8	3	6711
8	4	27891
8	5	91568
8	6	431689
8	7	1798095
8	8	3208148
8	9	1364570
8	10	339209
8	11	116540
8	12	62577
8	13	43387
8	14	32456
8	15	24444
8	16	19200
8	17	15346
8	18	12528
8	19	10616

9	0	11
9	1	258
9	2	1231
9	3	4811
9	4	18278
9	5	41962
9	6	106871
9	7	378594
9	8	1321130
9	9	2008352
9	10	942167
9	11	281057
9	12	107769
9	13	59638
9	14	40988
9	15	30395
9	16	23256
9	17	17399
9	18	14191
9	19	12040

10	0	13
10	1	214
10	2	1072
10	3	3676
10	4	13354
10	5	28053
10	6	51294
10	7	107918
10	8	315390
10	9	902810
10	10	1209164
10	11	618154
10	12	221637
10	13	96407
10	14	54343
10	15	37818
10	16	27606
10	17	20166
10	18	15648
10	19	12713

11	0	16
11	1	169
11	2	951
11	3	2968
11	4	10234
11	5	20677
11	6	34453
11	7	54370
11	8	103347
11	9	254396
11	10	588940
11	11	704372
11	12	393910
11	13	165809
11	14	80293
11	15	48633
11	16	33702
11	17	24282
11	18	17397
11	19	13835

12	0	21
12	1	176
12	2	787
12	3	2317
12	4	7930
12	5	16107
12	6	26330
12	7	37160
12	8	53713
12	9	94432
12	10	200413
12	11	376585
12	12	413264
12	13	245698
12	14	121610
12	15	65144
12	16	40949
12	17	29056
12	18	20425
12	19	15106

13	0	7
13	1	134
13	2	659
13	3	1879
13	4	6043
13	5	12745
13	6	19750
13	7	27348
13	8	36101
13	9	51015
13	10	84281
13	11	151575
13	12	237970
13	13	251295
13	14	159163
13	15	89299
13	16	52642
13	17	35126
13	18	24117
13	19	16802

14	0	10
14	1	128
14	2	556
14	3	1411
14	4	4675
14	5	9992
14	6	15506
14	7	20502
14	8	26114
14	9	34656
14	10	46629
14	11	70460
14	12	111667
14	13	158082
14	14	166060
14	15	110151
14	16	65821
14	17	42463
14	18	28559
14	19	19145

15	0	9
15	1	135
15	2	416
15	3	1238
15	4	3733
15	5	7787
15	6	12566
15	7	16222
15	8	19700
15	9	24789
15	10	32093
15	11	42490
15	12	59400
15	13	84060
15	14	107903
15	15	140245
15	16	84925
15	17	51223
15	18	32547
15	19	22307

16	0	12
16	1	104
16	2	399
16	3	1047
16	4	2976
16	5	6236
16	6	9868
16	7	13082
16	8	15217
16	9	18226
16	10	22710
16	11	28848
16	12	36562
16	13	48383
16	14	63863
16	15	81767
16	16	139307
16	17	72771
16	18	40611
16	19	25665

17	0	11
17	1	82
17	2	348
17	3	887
17	4	2482
17	5	4962
17	6	8100
17	7	10703
17	8	12274
17	9	14025
17	10	16658
17	11	20492
17	12	25672
17	13	31564
17	14	40558
17	15	49355
17	16	72201
17	17	143206
17	18	57036
17	19	28910

18	0	12
18	1	84
18	2	306
18	3	702
18	4	1913
18	5	3964
18	6	6584
18	7	8775
18	8	10029
18	9	11582
18	10	12743
18	11	14666
18	12	17798
18	13	21034
18	14	26144
18	15	32340
18	16	38566
18	17	55227
18	18	96855
18	19	39040

19	0	12
19	1	98
19	2	298
19	3	630
19	4	1609
19	5	3132
19	6	5331
19	7	7392
19	8	8386
19	9	9290
19	10	10093
19	11	11408
19	12	13090
19	13	14900
19	14	17458
19	15	20657
19	16	24265
19	17	28006
19	18	36741
19	19	59111
