I correct mismatch occulted
1	1801	257	17
2	15959	871	977
3	707681	3911	7050
4	2146821	11761	14636
5	6382947	34114	27758
6	8239129	82949	46250
7	9003823	165506	75771
8	8261258	263444	115689
9	6839895	366094	156050
10	5359311	443896	187706
11	4066044	486958	211408
12	3062916	487871	221748
13	2321998	468767	226637
14	1782615	434315	226592
15	1396239	397439	225401
16	1113285	362018	220633
17	912152	328816	216088
18	757443	298579	211133
19	638057	272933	204623
20	541419	248550	198018
21	467592	225489	191240
22	410025	207140	183817
23	360029	190381	176422
24	323464	174152	168341
25	289622	161853	160362
26	263432	150388	151820
27	237976	139935	145963
28	217194	132413	139916
29	199273	123315	133462
30	186025	118112	127355
31	175317	110643	121376
32	172612	104879	115742
33	171052	101209	109585
34	160679	95706	104568
35	150414	94476	99179
36	147100	93461	95420
37	138423	84640	91858
38	125203	79684	88187
39	117049	75904	84197
40	102874	72267	80854
41	96172	70722	77514
42	99854	69128	74303
43	93854	64644	71242
44	95977	65201	68168
45	77370	64691	65816
46	73413	60996	63185
47	66729	58133	61240
48	63222	53379	58845
49	64492	50998	55928
50	59803	48713	54692
51	58093	45157	52393
52	54520	43905	50351
53	51560	41860	47898
54	47420	40351	46334
55	45753	39520	44590
56	47328	36096	42497
57	41788	35383	40990
58	40994	34141	39566
59	38443	32900	38568
60	35765	32158	36712
61	33610	30286	35448
62	31554	29058	34323
63	28699	28780	32886
64	30787	27980	32378
65	28919	26754	31130
66	25855	26037	30501
67	23644	25322	29050
68	22543	24874	27658
69	21959	24209	27193
70	22653	23647	26414
71	22388	22833	25471
72	20378	21659	24724
73	18242	21248	23556
74	16871	20157	22760
75	17297	19693	22499
76	15984	18995	21767
77	15132	18473	21174
78	13840	17779	20413
79	13427	17404	19563
80	13038	17196	19200
81	12773	16547	18951
82	12647	16267	18355
83	12562	15677	18056
84	11764	15184	17341
85	11276	14740	16847
86	11177	14435	16348
87	10894	14383	15910
88	10805	13903	15484
89	10498	13609	14704
90	10129	13249	14666
91	10231	13039	14253
92	9717	12800	13846
93	9631	12558	13526
94	9268	12387	13248
95	8957	12059	12879
96	8700	11955	12868
97	8430	11962	12436
98	8284	11537	12334
99	8262	11526	11795
100	7802	11240	11593
101	7428	11169	11434
102	7311	10922	11206
103	7266	11092	10957
104	6957	10534	10651
105	6937	10353	10313
106	6835	10158	10145
107	6793	10074	9990
108	6592	9929	9952
109	6292	9785	9534
110	6082	9450	9535
111	5913	9450	9371
112	5843	9299	9169
113	5753	8938	8981
114	5985	8919	8767
115	5752	8814	8675
116	5833	8514	8294
117	5592	8350	8121
118	5550	8257	8050
119	5395	8055	7768
120	5561	8000	7810
121	5447	7927	7532
122	5253	7737	7289
123	5153	7820	7251
124	4912	7651	7130
125	4904	7465	6986
126	4790	7583	6758
127	4636	7343	6619
128	4694	7211	6515
129	4508	7317	6351
130	4413	7100	6205
131	4434	7165	6186
132	4467	7069	6018
133	4371	6906	5779
134	4282	6809	5933
135	4180	6926	5897
136	4249	6704	5703
137	4075	6725	5660
138	4082	6609	5514
139	4084	6661	5503
140	4004	6339	5515
141	3891	6377	5207
142	3858	6323	5250
143	3807	6266	5221
144	3825	6136	5124
145	3602	6187	5042
146	3603	6082	4981
147	3378	6028	4809
148	3398	6030	4729
149	3331	5941	4725
150	3310	6066	4608
151	3219	5891	4625
152	3298	5654	4639
153	3387	5677	4571
154	3315	5557	4575
155	3271	5615	4612
156	3266	5748	4523
157	3005	5752	4519
158	3005	5769	4415
159	3056	5424	4291
160	2995	5224	4177
161	3085	5219	4057
162	2841	5037	4140
163	3002	5049	3957
164	2838	4898	3824
165	2996	4958	3958
166	2903	4960	3808
167	2883	4890	3908
168	2951	5096	3867
169	2839	4726	3818
170	2712	4701	3637
171	2567	4695	3706
172	2567	4680	3765
173	2560	4623	3610
174	2514	4546	3693
175	2606	4519	3628
176	2642	4453	3580
177	2470	4455	3588
178	2481	4556	3636
179	2560	4444	3642
180	2524	4486	3606
181	2400	4289	3645
182	2469	4258	3686
183	2410	4252	3465
184	2500	4245	3530
185	2302	4174	3641
186	2308	4193	3514
187	2353	4139	3492
188	2238	4162	3499
189	2243	4112	3453
190	2300	3969	3381
191	2192	4107	3423
192	2263	3981	3473
193	2287	4109	3476
194	2409	4067	3520
195	2293	4048	3428
196	2312	4092	3436
197	2239	4002	3463
198	2088	3952	3475
199	2062	3708	3411
200	2105	3657	3448
201	1951	3723	3408
202	1942	3656	3371
203	1955	3656	3310
204	1919	3771	3353
205	1919	3655	3428
206	1817	3625	3442
207	1867	3520	3507
208	1884	3464	3391
209	1801	3453	3482
210	1818	3419	3455
211	1828	3432	3411
212	1808	3370	3467
213	1715	3394	3577
214	1768	3303	3578
215	1598	3373	3663
216	1663	3290	3688
217	1707	3252	3704
218	1568	3231	3983
219	1565	3294	3918
220	1651	3314	4006
221	1562	3458	4154
222	1598	3409	4265
223	1540	3537	4275
224	1519	3361	4518
225	1548	3287	4650
226	1504	3446	4691
227	1367	3291	4778
228	1315	3121	4654
229	1380	3115	4733
230	1338	3051	4855
231	1362	2986	4815
232	1309	2916	4835
233	1171	2927	4993
234	1349	2858	5112
235	1238	2916	5135
